Company,Inches,Memory,OpSys,Price_euros,height,width,Clock,Weight_in_kg
HP,15.6,4,No OS,393.9,768,1366,2.5,1.86
Asus,15.6,4,Windows 10,344.0,1080,1920,1.1,2.0
HP,15.6,6,Windows 10,764.0,768,1366,2.5,2.19
Dell,15.6,16,Windows 10,1099.0,2160,3840,2.6,2.72
Razer,12.5,16,Windows 10,1799.0,2160,3840,2.5,1.29
Dell,14.0,8,Windows 10,1279.73,1080,1920,2.6,1.64
Google,12.3,8,Chrome OS,1559.0,1600,2400,1.2,1.1
LG,15.6,8,Windows 10,2299.0,1080,1920,1.8,1.09
Dell,13.3,8,Windows 10,869.01,1080,1920,1.8,1.62
MSI,17.3,16,Windows 10,2415.0,1080,1920,2.8,2.9
Asus,17.3,64,Windows 10,3975.0,1080,1920,2.7,3.58
HP,14.0,8,Windows 10,988.0,1080,1920,1.8,1.63
Acer,13.3,4,Windows 10,655.0,768,1366,2.3,1.6
Dell,12.5,8,Windows 7,1413.1,768,1366,2.3,1.5
Dell,17.3,16,Windows 10,2699.0,1080,1920,2.8,4.42
Dell,15.6,4,Windows 7,769.15,768,1366,2.3,2.24
Apple,12.0,8,Mac OS X,1279.0,1440,2304,1.2,0.92
Dell,15.6,8,Windows 10,1049.0,1080,1920,1.8,1.56
Asus,15.6,8,Windows 10,1655.0,1080,1920,2.8,2.3
Lenovo,13.3,16,Windows 10,1499.0,1800,3200,2.5,1.3
Asus,14.0,8,Windows 10,1094.0,1080,1920,2.7,2.0
Asus,14.0,8,Windows 10,945.0,1080,1920,2.5,2.0
Asus,15.6,8,Windows 10,590.0,1080,1920,2.5,2.3
Dell,15.6,8,Windows 10,789.81,1080,1920,2.5,2.18
Lenovo,13.3,4,Windows 10,735.0,1080,1920,2.4,1.44
Dell,15.6,8,Linux,599.9,1080,1920,2.7,2.2
Lenovo,15.6,12,Windows 10,609.0,768,1366,1.8,2.2
Lenovo,17.3,16,Windows 10,2749.99,1080,1920,2.7,4.6
Acer,11.6,4,Windows 10,435.0,768,1366,1.6,1.4
Asus,17.3,8,Windows 10,1695.0,1080,1920,3.2,3.2
Lenovo,14.0,4,Windows 10,629.0,1080,1920,2.4,1.74
Lenovo,12.5,8,Windows 10,1429.0,1080,1920,2.5,1.36
Dell,15.6,16,Windows 10,989.99,1080,1920,2.7,2.32
HP,13.3,16,Windows 10,2449.0,2160,3840,1.8,1.29
HP,15.6,4,Windows 10,469.0,1080,1920,2.0,1.86
Lenovo,17.3,4,Windows 10,379.0,900,1600,2.2,2.8
Asus,15.6,16,Windows 10,1899.0,1080,1920,2.8,2.1
HP,14.0,8,Windows 7,1513.0,1080,1920,2.3,1.43
Lenovo,15.6,8,Windows 10,2090.0,1080,1920,2.9,2.67
HP,13.3,8,Windows 10,1349.0,1080,1920,2.7,1.11
MSI,15.6,16,Windows 10,2099.0,1080,1920,2.8,2.8
HP,15.6,8,Windows 10,579.0,768,1366,2.5,1.91
Asus,17.3,16,Windows 10,2350.0,1080,1920,2.6,4.3
HP,15.6,4,Windows 7,940.0,1080,1920,2.3,2.31
Dell,13.3,8,Windows 10,659.0,1080,1920,1.6,1.55
Dell,15.6,4,Linux,869.0,768,1366,2.6,1.93
Acer,14.0,4,Windows 10,329.0,1080,1920,1.1,1.6
Dell,17.3,32,Windows 10,3149.0,1080,1920,2.8,4.42
Lenovo,15.6,8,Windows 10,813.0,1080,1920,2.5,1.9
HP,14.0,8,Windows 10,1185.43,1080,1920,2.7,1.64
HP,15.6,16,Windows 10,1159.0,1080,1920,1.8,2.1
MSI,14.0,16,Windows 10,1769.0,1080,1920,2.6,1.7
Lenovo,15.6,8,Windows 10,739.0,1080,1920,1.6,2.05
Dell,17.3,8,Linux,865.0,1080,1920,2.7,2.83
MSI,17.3,8,Windows 10,1409.0,1080,1920,2.8,2.7
HP,12.5,4,Windows 10,1539.0,1080,1920,2.5,1.26
LG,15.6,16,Windows 10,2099.0,1080,1920,2.7,1.08
Asus,15.6,16,Windows 10,1449.0,1080,1920,2.8,2.2
Lenovo,15.6,16,Windows 7,1855.0,1080,1920,2.5,2.18
Asus,15.6,16,Windows 10,2449.0,1080,1920,2.8,2.2
Asus,17.3,16,Windows 10,2299.0,1080,1920,2.6,4.3
Dell,15.6,4,Windows 10,585.0,1080,1920,2.5,2.3
Lenovo,14.0,8,Windows 10,1686.64,1440,2560,2.5,1.17
Toshiba,14.0,4,Windows 10,1105.0,1080,1920,2.3,1.47
Acer,15.6,2,Chrome OS,199.0,768,1366,1.5,2.19
Acer,15.6,12,Windows 10,659.0,1080,1920,2.7,2.15
HP,15.6,8,Windows 7,2171.72,1080,1920,2.5,1.88
Apple,11.6,4,Mac OS X,959.0,768,1366,1.6,1.08
Lenovo,15.6,4,Windows 10,799.0,1080,1920,2.7,2.2
Asus,13.3,8,Windows 10,1499.0,1080,1920,1.8,1.1
Asus,15.6,8,Windows 10,1049.9,1080,1920,2.7,1.7
Asus,14.0,16,Windows 10,1900.0,1080,1920,2.7,1.1
Asus,15.6,4,Linux,415.0,1080,1920,2.0,2.0
Lenovo,15.6,8,Windows 10,1011.99,1080,1920,2.5,2.3
Lenovo,12.5,16,Windows 10,1650.0,1080,1920,2.5,1.3
HP,17.3,12,Windows 10,1799.0,1080,1920,2.8,2.62
MSI,15.6,8,Windows 10,1199.0,1080,1920,2.5,2.4
Dell,15.6,16,Windows 10,1181.27,1080,1920,2.7,2.3
Lenovo,15.6,8,Windows 10,1925.0,1080,1920,2.8,2.67
Lenovo,15.6,4,Windows 10,449.0,1080,1920,2.0,1.85
Lenovo,14.0,24,Windows 10,2382.0,1440,2560,2.7,1.32
Dell,15.6,4,Linux,598.9,1080,1920,2.5,2.3
HP,15.6,4,Windows 10,397.0,1080,1920,2.0,1.86
Dell,17.3,32,Windows 10,3072.89,1080,1920,2.8,4.42
Acer,13.3,8,Windows 10,789.01,1080,1920,2.5,1.6
Lenovo,15.6,8,Windows 10,819.0,1080,1920,2.5,2.4
MSI,15.6,8,Windows 10,1199.0,1080,1920,2.8,2.2
Asus,15.6,4,Windows 10,369.0,768,1366,1.6,2.2
Asus,15.6,8,Windows 10,749.0,1080,1920,2.5,2.37
HP,12.5,8,Windows 10,1335.0,1080,1920,2.7,1.26
Dell,17.3,16,Windows 10,2505.02,1080,1920,2.8,4.36
Vero,13.3,4,Windows 10,196.0,1080,1920,1.44,1.35
Dell,14.0,8,Windows 10,1119.0,1080,1920,2.5,1.6
Lenovo,15.6,4,Windows 10,399.0,1080,1920,2.5,2.2
HP,17.3,8,Windows 10,928.0,1080,1920,1.6,2.5
Dell,13.3,4,Windows 10,649.0,1080,1920,2.4,1.71
Lenovo,13.9,8,Windows 10,1349.0,1080,1920,2.7,1.38
HP,17.3,6,Windows 10,699.0,1080,1920,2.5,2.71
HP,17.3,8,Windows 10,544.15,900,1600,2.0,2.65
Dell,17.3,8,Windows 10,1142.0,1080,1920,1.8,2.8
Mediacom,14.0,2,Windows 10,239.0,1080,1920,1.44,1.4
MSI,17.3,16,Windows 10,1599.0,1080,1920,2.8,2.7
HP,13.3,8,Windows 10,1090.0,1080,1920,2.7,1.49
Lenovo,15.6,4,Windows 10,999.0,1080,1920,2.8,2.4
Asus,14.0,8,Windows 10,1334.0,1080,1920,2.7,2.0
Dell,15.6,8,Windows 10,970.9,1080,1920,1.8,2.02
Lenovo,15.6,4,No OS,499.0,1080,1920,2.5,2.2
HP,17.3,8,Windows 10,489.0,900,1600,2.0,2.54
Dell,13.3,4,Windows 10,818.35,1080,1920,1.6,1.4
Samsung,11.6,4,Chrome OS,269.0,768,1366,1.6,1.15
Lenovo,14.0,8,Windows 10,1116.02,1080,1920,1.6,1.75
Acer,15.6,4,Windows 10,691.0,1080,1920,2.5,2.23
Lenovo,17.3,4,No OS,529.0,1080,1920,2.0,2.8
MSI,15.6,16,Windows 10,2299.0,2160,3840,2.8,1.8
HP,13.3,4,Windows 10,699.0,1080,1920,2.5,1.32
Asus,15.6,8,Windows 10,909.0,1080,1920,2.6,2.591
HP,12.5,8,Windows 10,1908.0,1080,1920,1.2,0.97
Dell,17.3,16,Windows 10,2456.34,1080,1920,2.8,4.42
HP,13.3,8,Windows 10,2559.0,1080,1920,2.8,1.28
Toshiba,15.6,8,Windows 10,812.0,768,1366,2.5,2.2
HP,15.6,8,Windows 10,902.0,768,1366,1.8,2.1
Dell,15.6,8,Linux,778.87,1080,1920,2.7,2.33
Lenovo,14.0,4,Windows 10,292.0,768,1366,1.1,1.44
HP,17.3,8,Windows 10,1280.0,1080,1920,2.7,2.63
Microsoft,13.5,8,Windows 10 S,1799.0,1504,2256,2.5,1.25
Lenovo,13.3,8,Windows 10,1034.0,1080,1920,2.5,1.3
Asus,15.6,8,Windows 10,1224.0,1080,1920,2.7,2.0
Toshiba,15.6,8,Windows 10,1258.0,1080,1920,2.5,2.0
Razer,14.0,16,Windows 10,2899.0,1080,1920,2.8,1.95
Dell,17.3,32,Windows 10,3659.4,2160,3840,2.8,4.36
Lenovo,15.6,8,Windows 10,788.49,1080,1920,2.3,2.5
Lenovo,15.6,8,Windows 10,1962.99,1080,1920,2.5,1.95
Asus,15.6,4,Linux,559.0,1080,1920,2.5,2.0
Dell,15.6,8,Windows 10,1008.52,768,1366,2.6,1.9
Asus,14.0,8,Windows 10,1135.0,1080,1920,2.5,1.1
HP,15.6,6,Windows 10,568.9,1080,1920,2.5,1.91
Acer,17.3,8,Windows 10,629.0,900,1600,2.0,3.3
Asus,12.5,8,Chrome OS,1159.0,1080,1920,1.2,1.2
Lenovo,14.0,8,Windows 10,2590.0,1440,2560,2.7,1.42
Lenovo,17.3,4,Windows 10,589.0,900,1600,2.5,2.79
Lenovo,15.6,16,Windows 10,2445.0,2160,3840,2.8,2.3
Lenovo,15.6,16,Windows 10,3299.0,2160,3840,2.8,2.5
HP,15.6,8,Windows 10,1228.99,1080,1920,2.5,1.84
Asus,13.3,8,Windows 10,729.0,1080,1920,0.9,1.2
HP,15.6,8,Windows 10,879.0,1080,1920,1.6,2.1
Chuwi,15.6,4,Windows 10,244.99,1080,1920,1.44,1.89
Asus,17.3,8,No OS,889.0,1080,1920,2.7,2.69
HP,14.0,4,Windows 7,1099.99,1080,1920,2.3,1.54
Toshiba,13.3,8,Windows 10,1475.0,1080,1920,2.5,1.05
Lenovo,15.6,4,No OS,252.36,768,1366,1.1,1.9
Lenovo,13.3,8,Windows 10,999.0,1080,1920,2.5,1.1
Lenovo,14.0,8,Windows 7,1199.0,1080,1920,2.3,1.7
Dell,15.6,16,Windows 10,1329.0,2160,3840,2.6,3.21
Acer,15.6,8,Windows 10,1260.0,1080,1920,2.8,2.7
HP,15.6,4,Windows 10,297.0,768,1366,1.8,1.86
Lenovo,15.6,8,Windows 10,899.0,1080,1920,2.6,2.6
Toshiba,15.6,4,Windows 10,498.0,768,1366,2.1,2.1
Apple,15.4,16,macOS,2537.45,1800,2880,2.7,1.83
Dell,13.3,8,Windows 10,1379.0,1800,3200,2.4,1.23
Acer,13.3,8,Windows 10,999.0,1080,1920,1.6,1.6
Asus,15.6,4,Windows 10,435.0,768,1366,2.4,2.0
Lenovo,14.0,2,Windows 10,229.0,768,1366,1.6,1.5
HP,15.6,4,Windows 10,685.0,1080,1920,2.4,2.04
Samsung,15.0,16,Windows 10,1849.0,1080,1920,2.7,1.23
Lenovo,11.6,4,Windows 10,553.0,768,1366,1.1,1.59
HP,15.6,6,Windows 10,649.0,1080,1920,3.0,1.95
Dell,15.6,16,Windows 10,2338.0,1080,1920,2.7,2.17
Asus,11.6,2,Windows 10,275.0,768,1366,1.1,1.1
HP,15.6,4,Windows 10,705.15,768,1366,2.3,2.31
Acer,11.6,4,Windows 10,485.0,768,1366,1.6,1.4
Asus,17.3,8,Windows 10,1168.0,1080,1920,2.8,3.0
Asus,14.0,4,Windows 10,298.0,1080,1920,1.1,1.5
Acer,15.6,4,Windows 10,400.0,768,1366,3.0,2.1
HP,15.6,8,Windows 10,719.0,1080,1920,2.7,1.91
Dell,17.3,16,Windows 10,2799.0,1440,2560,2.9,4.42
Acer,15.6,4,Linux,289.0,768,1366,1.6,2.4
Dell,15.6,8,Windows 10,1763.0,1080,1920,2.8,2.06
HP,15.6,4,No OS,476.99,768,1366,2.3,2.1
Acer,15.6,16,Windows 10,1299.0,1080,1920,2.5,2.5
Asus,15.6,8,Linux,597.0,1080,1920,2.4,2.3
Dell,15.6,4,Linux,324.0,768,1366,1.6,2.2
Dell,13.3,8,Windows 10,2013.1,1800,3200,1.3,1.24
Asus,17.3,8,Windows 10,1770.0,1080,1920,2.5,2.73
Dell,13.3,4,Windows 10,849.0,768,1366,2.0,1.65
Asus,15.6,8,Windows 10,769.0,1080,1920,2.5,2.0
Dell,15.6,8,Windows 10,675.0,1080,1920,1.6,2.2
Toshiba,13.3,8,Windows 7,1460.0,1080,1920,2.3,1.2
Dell,12.5,8,Windows 10,1472.2,1080,1920,2.5,1.36
Acer,15.6,4,Linux,272.0,768,1366,2.0,2.1
HP,15.6,4,Windows 10,438.69,768,1366,2.0,1.86
Dell,13.3,8,Windows 10,1499.0,1080,1920,2.5,1.29
HP,14.0,4,Windows 10,229.0,768,1366,1.6,1.44
Dell,15.6,16,Windows 10,1349.0,1080,1920,2.8,2.6
Asus,17.3,16,Windows 10,1407.0,1080,1920,2.8,2.9
Apple,15.4,16,macOS,2439.97,1800,2880,2.8,1.83
Dell,12.5,8,Windows 10,1670.0,1080,1920,2.5,1.34
Lenovo,13.3,8,Windows 10,1950.0,1080,1920,2.7,1.37
Asus,15.6,16,Windows 10,1468.0,1080,1920,2.7,1.63
Acer,15.6,8,Linux,798.0,1080,1920,2.5,2.4
HP,14.0,4,Windows 10,1265.0,1080,1920,2.5,1.95
HP,15.6,8,Windows 10,679.0,1080,1920,2.5,1.96
Lenovo,15.6,8,No OS,329.0,768,1366,1.6,2.2
Lenovo,15.6,6,Windows 10,831.0,1080,1920,2.7,1.54
Acer,14.0,4,Windows 10,636.0,1080,1920,2.4,1.8
HP,14.0,8,Windows 7,2198.19,1440,2560,2.5,1.54
Toshiba,15.6,8,Windows 10,1388.0,1080,1920,2.7,2.0
Dell,15.6,4,Windows 10,776.0,1080,1920,1.6,2.2
HP,12.5,8,Windows 7,1199.0,1080,1920,2.3,1.26
Lenovo,17.3,8,No OS,539.0,900,1600,2.5,2.8
Dell,15.6,4,Windows 10,586.6,768,1366,2.4,2.18
Dell,15.6,8,Windows 10,955.0,1080,1920,2.5,2.06
HP,12.5,8,Windows 7,1895.0,768,1366,2.4,1.26
Lenovo,14.0,16,Windows 10,2499.0,1440,2560,2.6,1.36
Xiaomi,15.6,16,No OS,1399.95,1080,1920,1.8,1.95
Lenovo,17.3,6,Windows 10,719.0,900,1600,2.5,2.8
Asus,15.6,4,Windows 10,575.0,1080,1920,2.5,2.2
Dell,13.3,8,Windows 10,1199.0,1080,1920,2.5,1.6
MSI,17.3,8,Windows 10,1348.48,1080,1920,2.8,2.7
HP,15.6,8,No OS,575.0,1080,1920,2.5,1.86
Apple,15.4,16,Mac OS X,2139.97,1800,2880,2.2,2.04
Asus,15.6,12,Windows 10,1099.0,1080,1920,2.7,2.26
Dell,13.3,16,Windows 10,2499.0,2160,3840,1.8,1.21
Asus,17.3,8,Windows 10,1312.49,1080,1920,2.6,3.52
Acer,15.6,8,Windows 10,579.0,768,1366,2.5,2.2
Dell,11.6,4,Chrome OS,295.0,768,1366,1.6,1.26
Lenovo,14.0,8,Windows 10,857.07,1080,1920,2.5,1.87
Toshiba,13.3,8,Windows 10,1210.0,768,1366,2.3,1.5
Dell,13.3,8,Windows 10,931.88,1080,1920,1.8,1.4
Lenovo,14.0,4,Windows 10,638.0,1080,1920,2.5,1.8
Acer,15.6,8,Linux,709.0,1080,1920,2.5,2.4
Dell,15.6,8,Windows 10,800.0,1080,1920,1.6,2.2
HP,15.6,4,Windows 10,839.0,1080,1920,2.5,2.04
Asus,17.3,16,Windows 10,1900.0,1080,1920,2.6,4.0
Dell,15.6,8,Windows 10,945.0,1080,1920,2.5,1.9
Dell,15.6,16,Windows 10,1219.24,1080,1920,1.8,2.2
HP,14.0,8,Windows 10,2089.0,1080,1920,2.7,1.48
Dell,13.3,16,Windows 10,1899.0,1800,3200,1.3,1.22
Lenovo,15.6,8,Windows 10,830.0,1080,1920,2.5,2.3
Lenovo,15.6,4,Windows 10,429.0,768,1366,2.0,2.1
Dell,15.6,16,Windows 10,1479.0,1080,1920,2.8,2.62
Toshiba,15.6,16,Windows 10,1403.0,1080,1920,2.5,2.4
MSI,15.6,8,Windows 10,1142.8,1080,1920,2.8,2.4
Lenovo,14.0,8,Windows 7,1499.0,1080,1920,2.6,1.7
HP,15.6,8,Windows 10,445.9,768,1366,2.5,1.91
Asus,17.3,8,Windows 10,1187.0,1080,1920,2.8,3.0
Dell,15.6,4,Windows 10,418.64,768,1366,2.0,2.3
Dell,15.6,8,Windows 10,1049.0,1080,1920,1.6,1.9
Dell,15.6,2,Windows 10,379.0,768,1366,1.6,2.2
Asus,17.3,8,Windows 10,1299.0,1080,1920,3.0,3.2
HP,14.0,8,Windows 10,980.0,1080,1920,2.5,1.95
Lenovo,15.6,4,Windows 10,414.9,1080,1920,2.0,1.85
Lenovo,15.6,16,Windows 10,999.0,1080,1920,2.1,2.5
Dell,15.6,8,Windows 10,767.8,1080,1920,1.8,2.13
HP,15.6,8,Windows 10,1389.0,1080,1920,2.7,1.84
Lenovo,15.6,8,No OS,549.0,1080,1920,2.5,2.2
Acer,15.6,6,Windows 10,479.0,1080,1920,2.4,2.1
Lenovo,15.6,4,Windows 10,419.0,768,1366,1.1,2.2
Lenovo,15.6,4,Windows 10,630.0,1080,1920,2.7,2.05
Dell,15.6,8,Windows 10,870.0,1080,1920,1.8,2.2
Lenovo,13.3,8,Windows 10,2025.0,1080,1920,2.7,1.37
Apple,13.3,8,macOS,1419.0,1600,2560,2.0,1.37
Lenovo,12.5,8,Windows 10,1650.0,1080,1920,2.7,1.36
HP,15.6,4,Windows 10,689.0,768,1366,2.0,1.63
Dell,14.0,8,Windows 10,1229.0,1080,1920,2.4,1.56
Samsung,15.0,8,Windows 10,1699.0,1080,1920,2.7,1.17
Acer,11.6,4,Chrome OS,355.0,768,1366,1.6,1.35
Asus,15.6,4,Windows 10,304.0,768,1366,1.1,2.0
Dell,12.5,4,Windows 7,1135.15,768,1366,2.3,1.5
Lenovo,10.1,4,Android,549.0,1200,1920,1.44,0.69
Dell,15.6,8,Windows 10,1820.0,1080,1920,2.8,2.0
Dell,17.3,16,Windows 10,1299.0,1080,1920,1.8,2.8
HP,13.3,16,Windows 10,1197.0,1080,1920,1.8,1.49
Asus,15.6,8,Windows 10,1649.0,1080,1920,2.5,2.3
Dell,13.3,8,Windows 10,839.0,1080,1920,1.8,1.62
Lenovo,17.3,6,Windows 10,859.0,900,1600,2.7,2.8
Dell,14.0,8,Windows 10,1427.0,1080,1920,2.6,1.36
Asus,17.3,16,Windows 10,1504.0,1080,1920,2.8,3.0
Lenovo,14.0,8,Windows 7,1465.0,1080,1920,2.3,1.65
HP,15.6,16,Windows 10,2419.0,1080,1920,2.8,2.6
Lenovo,13.9,16,Windows 10,1849.0,2160,3840,1.8,1.4
Asus,15.6,16,Windows 10,1262.0,1080,1920,1.8,1.5
HP,15.6,6,Windows 10,579.0,768,1366,2.7,2.04
Toshiba,14.0,4,Windows 10,915.0,768,1366,2.3,1.75
Dell,15.6,16,Windows 10,3055.0,2160,3840,3.0,2.8
HP,14.0,4,Windows 7,1030.99,1080,1920,2.3,1.54
Acer,14.0,8,Windows 10,1149.0,1080,1920,1.3,1.2
HP,15.6,4,Windows 10,705.5,1080,1920,2.4,2.1
Apple,12.0,8,Mac OS X,1163.0,1440,2304,1.1,0.92
MSI,15.6,8,Windows 10,997.9,1080,1920,2.5,2.2
Lenovo,12.5,8,Windows 10,1584.0,1080,1920,2.7,1.36
Mediacom,14.0,4,Windows 10,249.0,1080,1920,1.44,1.4
Toshiba,15.6,8,Windows 10,793.0,768,1366,2.5,2.0
Asus,17.3,8,Windows 10,938.0,1080,1920,2.5,3.0
Asus,14.0,4,Windows 10,769.0,1080,1920,2.4,2.0
Dell,15.6,8,Windows 10,1096.16,1080,1920,1.6,1.88
Asus,17.3,4,Windows 10,530.0,900,1600,1.6,2.8
Dell,14.0,4,Windows 10,735.87,1080,1920,2.0,1.6
Asus,17.3,8,Windows 10,1599.0,1080,1920,2.8,2.7
Dell,15.6,8,Windows 10,1262.0,1080,1920,1.8,2.16
MSI,15.6,16,Windows 10,1799.0,1080,1920,2.8,2.4
HP,13.3,4,Windows 10,675.0,1080,1920,1.6,1.49
Toshiba,15.6,8,Windows 10,1043.0,1080,1920,2.5,2.2
Dell,15.6,8,Windows 10,935.0,1080,1920,2.6,1.9
HP,17.3,8,Windows 10,1860.99,900,1600,2.8,3.14
Asus,15.6,8,Windows 10,999.0,1080,1920,2.8,2.5
Dell,15.6,4,Linux,485.0,1080,1920,2.0,2.2
Dell,15.6,4,Windows 10,614.0,768,1366,2.0,2.18
MSI,15.6,8,Windows 10,1149.0,1080,1920,2.8,2.2
HP,15.6,8,Windows 10,2249.0,1080,1920,2.7,2.0
Lenovo,15.6,16,Windows 10,1305.0,1080,1920,2.6,3.31
HP,14.0,4,Windows 10,684.0,768,1366,2.4,1.64
HP,15.6,8,Windows 10,745.0,1080,1920,2.7,2.1
HP,15.6,4,Windows 10,650.0,768,1366,2.3,2.07
Lenovo,17.3,6,Windows 10,649.0,900,1600,2.5,2.8
Apple,12.0,8,Mac OS X,1300.0,1440,2304,1.1,0.92
Dell,15.6,8,Windows 10,2135.0,1080,1920,2.7,2.0
Dell,15.6,16,Linux,899.0,1080,1920,2.7,2.36
Lenovo,13.3,16,Windows 10,1499.0,1800,3200,2.5,1.3
Lenovo,14.0,4,Chrome OS,325.0,768,1366,1.6,1.5
Lenovo,15.6,4,No OS,359.99,768,1366,1.1,2.2
LG,14.0,8,Windows 10,1899.0,1080,1920,2.7,0.98
Acer,15.6,8,Windows 10,449.0,768,1366,2.2,2.4
Apple,13.3,8,macOS,2040.0,1600,2560,3.1,1.37
Lenovo,14.0,8,Windows 10,1799.0,1080,1920,2.5,1.32
Lenovo,15.6,8,No OS,685.0,1080,1920,2.7,2.2
Dell,13.3,8,Windows 10,955.0,1080,1920,1.8,1.4
Asus,14.0,8,Windows 10,1049.0,1080,1920,2.7,1.25
Asus,15.6,8,No OS,1169.0,1080,1920,2.8,2.5
Dell,13.3,16,Windows 10,1869.0,1800,3200,1.8,1.2
HP,12.5,8,Windows 10,1483.0,1080,1920,2.7,1.26
MSI,15.6,8,Windows 10,1027.74,1080,1920,2.5,2.2
Dell,14.0,8,Windows 10,1179.0,1080,1920,2.8,1.64
Toshiba,14.0,8,Windows 10,1180.0,1080,1920,2.3,1.95
HP,11.6,2,Windows 10,209.0,768,1366,1.6,1.17
Dell,13.3,16,Windows 10,2240.0,1800,3200,2.5,1.29
Dell,15.6,8,Windows 10,855.0,1080,1920,1.8,2.02
Acer,15.6,4,Windows 10,395.0,768,1366,3.0,2.1
Dell,13.3,8,Windows 10,1869.0,1800,3200,1.6,1.23
HP,14.0,8,Windows 10,860.0,1080,1920,1.6,1.63
Microsoft,13.5,4,Windows 10 S,989.0,1504,2256,2.2,1.252
Asus,15.6,4,Windows 10,849.9,768,1366,2.7,2.37
Dell,15.6,8,Linux,895.01,1080,1920,2.7,1.98
HP,15.6,4,Windows 10,347.0,768,1366,1.6,2.1
Dell,15.6,4,Windows 10,739.0,1080,1920,2.7,2.18
Toshiba,15.6,16,Windows 10,1425.0,1080,1920,2.5,2.4
